mass ratio	a	b	c
0.0909090909	-0.10688498544210252	1.7771873569191676	-0.6763256780193393
0.5	1.0000000027171463	-7.324402631348764e-09	4.305152985864459e-09
0.0909090909	-0.4965178427395121	2.478226803659535	-0.9981102688399212
0.0308167422	-0.3407823445620184	2.026824019454949	-0.6795589177718591
0.0909090909	0.3217566054692903	0.10492064640613652	0.6749598123204109
0.104018662	-0.46438297543969687	2.384676000766778	-0.9325619774641366
0.300699301	0.6479769039207139	0.5954216218645443	-0.24862161715906625
0.0909090909	0.25054492984235677	0.5053331214372645	0.3162618766864441
0.0909090909	-0.12241127819934124	1.7398871248091305	-0.6228228480246073
0.1	-0.3397116808086055	2.208976275533089	-0.8836877614081865
