Time(hr)	Mass Accretion Ratio
0.0	0.0
0.30431	0.0
0.53781	1.0
0.70698	1.0
0.89971	1.0
1.0574	1.0
1.231	1.0
1.3883	0.8444444444444444
1.53	0.6222222222222222
1.664	0.5955555555555555
1.8109	0.78
1.9516	1.0
2.0862	1.0
2.2269	1.0
2.3669	1.0
2.4982	1.0
2.6289	1.0
2.7622	1.0
2.8929	1.0
3.0306	1.0
3.1696	1.0
3.3128	1.0
3.4589	1.0
3.6028	1.0
3.743	1.0
3.8879	1.0
4.0261	1.0
4.1648	1.0
4.313	1.0
4.4546	1.0
4.6008	1.0
4.7383	1.0
4.8868	1.0
5.0349	1.0
5.1795	1.0
5.3336	1.0
5.4956	1.0
5.6758	1.0
5.8574	1.0
6.0067	1.0
6.1523	1.0
6.3117	1.0
6.4769	1.0
6.6217	1.0
6.7698	1.0
6.9293	1.0
7.0934	1.0
7.261	1.0
7.4335	1.0
7.6059	1.0
7.7715	1.0
7.9449	1.0
8.1194	1.0
8.3118	1.0
8.522	1.0
8.7324	1.0
8.9016	1.0
9.0822	1.0
9.3119	1.0
9.5405	1.0
9.7552	1.0
9.9449	1.0
10.092	1.0
10.26	1.0
10.405999999999999	1.0
10.575000000000001	1.0
10.731	1.0
10.9	1.0
11.064	1.0
11.222000000000001	1.0
11.413	1.0
11.628	1.0
11.848	1.0
12.013	1.0
12.196	1.0
12.353000000000002	1.0
12.526	1.0
12.687	1.0
12.843	1.0
12.995000000000001	1.0
13.145	1.0
13.294999999999998	1.0
13.456999999999999	1.0
13.626000000000001	1.0
13.786000000000001	1.0
13.937999999999999	1.0
14.078999999999999	1.0
14.234	1.0
14.405	1.0
14.572000000000001	1.0
14.736	1.0
14.916	1.0
15.107999999999999	1.0
15.267999999999999	1.0
15.455000000000002	1.0
15.600000000000001	1.0
15.760000000000002	1.0
15.904	1.0
16.088	1.0
16.297	1.0
16.477	1.0
16.633	1.0
16.79	1.0
16.959	1.0
17.12	1.0
17.271	1.0
17.414	1.0
17.564999999999998	1.0
17.736	1.0
17.903	1.0
18.096	1.0
18.279	1.0
18.426000000000002	1.0
18.596	1.0
18.753	1.0
18.918	1.0
19.067	1.0
19.21	1.0
19.351	1.0
19.495	1.0
19.635	1.0
19.785	1.0
19.929	1.0
20.072000000000003	1.0
20.214	1.0
20.356	1.0
20.501	1.0
20.647000000000002	1.0
20.791	1.0
20.932	1.0
21.079	1.0
21.223999999999997	1.0
21.37	1.0
21.517	1.0
21.663999999999998	1.0
21.817	1.0
21.965	1.0
22.118000000000002	1.0
22.265	1.0
22.412999999999997	1.0
22.567	1.0
22.719	1.0
22.866	1.0
23.012999999999998	1.0
23.198	1.0
23.347	1.0
23.497	1.0
23.647999999999996	1.0
23.798	1.0
23.954	1.0
