Time(hr)	Mass Accretion Ratio
0.0	0.0
0.25744	0.0
0.50495	0.2966666666666667
0.6943100000000001	0.9866666666666667
0.90682	0.9933333333333333
1.0499	0.9966666666666667
1.1937	0.9966666666666667
1.3663	0.9933333333333333
1.5419	0.9966666666666667
1.6897	1.0
1.811	1.0
1.9371	1.0
2.0544	1.0
2.1727	1.0
2.301	1.0
2.4306	1.0
2.5572	1.0
2.6829	1.0
2.8071	1.0
2.9309	1.0
3.0559	1.0
3.1839	1.0
3.3108	1.0
3.4431	1.0
3.5704	1.0
3.7053	1.0
3.8353	1.0
3.9658	1.0
4.0907	1.0
4.2248	1.0
4.3559	1.0
4.4883	1.0
4.617	1.0
