Time(hr)	Mass Accretion Ratio
0.0	0.0
0.24823	0.0
0.39648	1.0
0.53888	1.0
0.7572800000000001	0.9988888888888889
0.90833	1.0
1.0779	1.0
1.2095	0.8466666666666667
1.3316	0.3977777777777778
1.4729	0.2388888888888889
1.5992	0.20666666666666667
1.7316	0.34555555555555556
1.8512	0.7233333333333334
1.9696	0.9955555555555555
2.0913	0.9966666666666667
2.2081	0.9977777777777778
2.3196	1.0
2.4354	1.0
2.5565	1.0
2.6747	1.0
2.7992	1.0
2.9219	0.9988888888888889
3.0359	0.9977777777777778
3.1456	0.9966666666666667
3.2637	0.9966666666666667
3.3869	0.9966666666666667
3.4932	0.9966666666666667
3.6086	0.9966666666666667
3.7342	0.9966666666666667
3.8427	0.9966666666666667
3.9625	0.9966666666666667
4.0906	0.9988888888888889
4.2038	1.0
4.3185	1.0
4.4419	1.0
4.5606	1.0
4.6747	0.9977777777777778
4.7962	0.9966666666666667
4.9163	0.9966666666666667
5.0335	0.9966666666666667
5.1609	0.9955555555555555
5.2846	0.9966666666666667
5.3999	0.9966666666666667
5.5227	0.9977777777777778
5.6449	0.9988888888888889
5.7616	1.0
5.8824	0.9988888888888889
6.0114	0.9988888888888889
6.128	0.9988888888888889
6.2498	0.9977777777777778
6.3845	0.9966666666666667
6.5078	0.9966666666666667
6.6302	0.9966666666666667
6.7609	0.9966666666666667
6.8816	0.9977777777777778
7.0059	0.9977777777777778
7.1359	0.9988888888888889
7.2624	1.0
7.3846	1.0
7.5186	1.0
7.6452	1.0
7.7724	0.9988888888888889
7.9033	0.9977777777777778
8.0255	0.9977777777777778
8.155	0.9977777777777778
8.294	0.9977777777777778
8.4172	0.9977777777777778
8.5459	0.9988888888888889
8.6811	1.0
8.8142	1.0
8.95	1.0
9.0906	1.0
