Time(hr)	Mass Accretion Ratio
0.0	0.0
0.25724	0.0
0.53594	0.0
0.77208	0.18
1.0311	0.17
1.2808	0.25666666666666665
1.527	0.28
1.7741	0.31
2.0129	0.3333333333333333
2.2359	0.3466666666666667
2.4662	0.37333333333333335
2.6821	0.38666666666666666
2.9072	0.38333333333333336
3.1349	0.38
3.3676	0.38666666666666666
3.5984	0.38333333333333336
3.829	0.39
4.0531	0.38666666666666666
4.2684	0.3933333333333333
4.4973	0.4
4.7261	0.39666666666666667
4.9581	0.4066666666666667
5.1873	0.4033333333333333
5.4189	0.4033333333333333
5.6585	0.4
5.9004	0.41333333333333333
6.1009	0.41
6.2711	0.42
6.4485	0.42
6.6206	0.4166666666666667
6.8153	0.4166666666666667
7.0486	0.4166666666666667
7.2888	0.4266666666666667
7.5197	0.42333333333333334
7.752	0.4266666666666667
7.9917	0.4266666666666667
8.251	0.4266666666666667
8.4931	0.4266666666666667
8.7323	0.4266666666666667
8.9911	0.4266666666666667
9.2413	0.4266666666666667
9.4954	0.4266666666666667
9.7465	0.4266666666666667
9.9845	0.4266666666666667
10.241	0.4266666666666667
10.491999999999999	0.4266666666666667
10.759	0.4266666666666667
10.998000000000001	0.4266666666666667
11.25	0.4266666666666667
