Time(hr)	Mass Accretion Ratio
0.0	0.0
0.49374000000000007	0.0011111111111111111
1.0404	0.0
1.5796	0.0011111111111111111
2.1035	0.0011111111111111111
2.6185	0.0022222222222222222
3.1422	0.0033333333333333335
3.6601	0.0033333333333333335
4.1913	0.0033333333333333335
4.7055	0.0044444444444444444
5.2357	0.0033333333333333335
5.7847	0.0022222222222222222
6.3293	0.0022222222222222222
6.8581	0.0011111111111111111
7.4123	0.0011111111111111111
7.9658	0.0011111111111111111
8.5238	0.0011111111111111111
9.1027	0.0
9.7013	0.0
10.283999999999999	0.0
10.870999999999999	0.0
11.445	0.0
12.028	0.0022222222222222222
12.605	0.0033333333333333335
13.152	0.005555555555555556
13.692	0.005555555555555556
14.235	0.005555555555555556
14.815000000000001	0.006666666666666667
15.431	0.005555555555555556
16.006	0.0077777777777777776
16.601	0.01
