Time(hr)	Mass Accretion Ratio
0.0	0.0
0.25691	0.0
0.48766	0.87
0.6552800000000001	1.0
0.8367100000000001	1.0
0.96337	1.0
1.0914	1.0
1.2403	1.0
1.3625	1.0
1.4991	1.0
1.6371	1.0
1.7555	1.0
1.8849	1.0
2.0055	1.0
2.115	1.0
2.2313	1.0
2.3554	1.0
2.4768	1.0
2.6138	1.0
2.7367	1.0
2.8687	1.0
3.0038	1.0
3.1349	1.0
3.2747	1.0
3.4093	1.0
3.5344	1.0
3.6701	1.0
3.7953	1.0
3.9201	1.0
4.0563	1.0
4.1802	1.0
4.3199	1.0
4.4586	1.0
4.5944	1.0
4.7314	1.0
4.8591	1.0
4.9953	1.0
5.136	1.0
5.2543	1.0
5.394	1.0
5.5299	1.0
5.6637	1.0
5.795	1.0
5.9292	1.0
6.0609	1.0
6.2031	1.0
6.3371	1.0
