Time(hr)	Mass Accretion Ratio
0.0	0.0
0.30482000000000004	0.0
0.56861	0.86
0.77547	0.88
1.0697	0.8
1.3112	0.98
1.5567	0.9955555555555555
1.7529	0.9955555555555555
1.9477	1.0
2.1094	1.0
2.2642	1.0
2.4224	1.0
2.5766	0.9955555555555555
2.7376	0.9955555555555555
2.9147	1.0
3.0675	1.0
3.2277	1.0
3.3768	1.0
3.5411	1.0
3.6838	1.0
3.8284	1.0
3.9704	1.0
4.1174	1.0
4.2621	1.0
4.4114	1.0
4.5642	1.0
4.7203	1.0
4.8745	1.0
5.0252	1.0
5.1805	1.0
5.3515	1.0
5.5122	1.0
5.672	1.0
5.8247	1.0
5.9879	1.0
6.1555	1.0
6.3261	1.0
6.4896	1.0
6.6388	1.0
6.7904	1.0
6.9467	1.0
7.1059	1.0
7.26	1.0
7.4175	1.0
7.6109	1.0
7.8152	1.0
8.0095	1.0
8.1705	1.0
8.3839	1.0
8.5807	1.0
8.7838	1.0
8.9966	1.0
9.2159	1.0
9.4254	1.0
9.5832	1.0
9.7324	1.0
9.895	1.0
10.064	1.0
10.24	1.0
10.405999999999999	1.0
10.568	1.0
10.728	1.0
10.886	1.0
11.045	1.0
11.213	1.0
11.41	1.0
11.599	1.0
11.809000000000001	1.0
11.979	1.0
12.142999999999999	1.0
12.318999999999999	1.0
12.495000000000001	1.0
12.668	1.0
12.869	1.0
13.073999999999998	1.0
13.251999999999999	1.0
13.420000000000002	1.0
13.609	1.0
13.817	1.0
14.017999999999999	1.0
14.219999999999999	1.0
14.405	1.0
14.588000000000001	1.0
14.778	1.0
14.966	1.0
15.149	1.0
15.328999999999999	1.0
15.5	1.0
15.682	1.0
15.867	1.0
16.064	1.0
16.251	1.0
16.436999999999998	1.0
16.619999999999997	1.0
16.807000000000002	1.0
16.993000000000002	1.0
17.172	1.0
17.352	1.0
17.528	1.0
17.701999999999998	1.0
17.883	1.0
18.067	1.0
18.243000000000002	1.0
18.425	1.0
18.605	1.0
18.789	1.0
18.97	1.0
19.143	1.0
19.323	1.0
19.5	1.0
19.682	1.0
19.855	1.0
20.042	1.0
20.23	1.0
20.421	1.0
20.606	1.0
20.799	1.0
20.977999999999998	1.0
21.160999999999998	1.0
21.34	1.0
21.528	1.0
21.716	1.0
21.909	1.0
22.102	1.0
22.29	1.0
22.465000000000003	1.0
22.650000000000002	1.0
22.834	1.0
23.019	1.0
23.214000000000002	1.0
23.405	1.0
23.589000000000002	1.0
23.79	1.0
23.974000000000004	1.0
24.169	1.0
24.354	1.0
24.55	1.0
24.744	1.0
24.939	1.0
25.133000000000003	1.0
25.326	1.0
25.514000000000003	1.0
25.699	1.0
25.886	1.0
26.07	1.0
26.261000000000003	1.0
26.454	1.0
26.645	1.0
26.831999999999997	1.0
27.012	1.0
