Time(hr)	Mass Accretion Ratio
0.0	0.0
0.25819000000000003	0.0
0.54697	0.0
0.79091	0.0
1.0507	0.0
1.3027	0.0
1.5492	0.0
1.8041	0.0
2.0572	0.0
2.309	0.0
2.5617	0.0
2.807	0.0
3.0592	0.0
3.3138	0.0
3.5652	0.0
3.8324	0.0
4.1154	0.0
4.3897	0.0
4.6481	0.0
4.9043	0.0
5.1626	0.0
5.4289	0.0
5.7031	0.0
5.9689	0.0
6.2233	0.0
6.468	0.0
6.7167	0.0
6.9695	0.0
7.2223	0.0
7.4853	0.0
7.7505	0.0
7.9949	0.0
8.2477	0.0
8.5125	0.0
8.7885	0.0
9.0644	0.0
9.3434	0.0
9.6158	0.0
9.9005	0.0
10.158000000000001	0.0
10.422	0.0
